date,league,matchup,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,raw_average,source,actual,result
2026-06-12,NBA,NYK@SAS,SAS,Bismack Biyombo,BENCH,ACTIVE,BLK,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Lindy Waters III,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Brittney Sykes,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.3,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Julie Allemand,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Julie Allemand,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Laura Juskaite,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Laura Juskaite,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.3,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,WSH,Sonia Citron,START,ACTIVE,PTS,OVER,,13,11,2,2,15.3,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,WSH,Sonia Citron,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.3,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,WSH,Shakira Austin,START,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,1,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,WSH,Georgia Amoore,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Tiffany Hayes,START,ACTIVE,PTS,OVER,,11,9,2,2,12.9,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Tiffany Hayes,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Tiffany Hayes,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Janelle Salaun,START,ACTIVE,PTS,OVER,,10.1,8,2.1,2,11.9,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Kayla Thornton,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Kiah Stokes,BENCH,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,1,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Cecilia Zandalasini,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Juste Jocyte,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Ashten Prechtel,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Flau'jae Johnson,START,ACTIVE,PTS,OVER,,10,8,2,2,11.8,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Flau'jae Johnson,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Flau'jae Johnson,START,ACTIVE,BLK,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Jordan Horston,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Natisha Hiedeman,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Katie Lou Samuelson,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Marina Mabrey,START,ACTIVE,3PM,OVER,,1,0,1,0.8,2,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Kia Nurse,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.4,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Maria Conde,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.4,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,WSH,Sonia Citron,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.8,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,WSH,Georgia Amoore,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Tiffany Hayes,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Janelle Salaun,START,ACTIVE,3PM,OVER,,1,0,1,0.8,2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Gabby Williams,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.6,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Flau'jae Johnson,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Natisha Hiedeman,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.3,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Karl-Anthony Towns,START,ACTIVE,PTS,OVER,,13.5,11,2.5,2,22.8,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Mikal Bridges,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jalen Brunson,START,ACTIVE,PTS,OVER,,12.3,10,2.3,2,19.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,OG Anunoby,START,ACTIVE,PTS,OVER,,10.2,8,2.2,2,13.3,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,OG Anunoby,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.3,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,REB,OVER,,4.5,3,1.5,1.5,7,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jeremy Sochan,BENCH,ACTIVE,PTS,OVER,,9,7,2,2,9.9,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jeremy Sochan,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Mitchell Robinson,BENCH,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,1.7,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jose Alvarado,BENCH,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.4,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jose Alvarado,BENCH,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Miles McBride,BENCH,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.4,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Tyler Kolek,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Mohamed Diawara,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.7,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,De'Aaron Fox,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.4,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Victor Wembanyama,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Harrison Barnes,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.5,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,PTS,OVER,,11,9,2,2,15.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Keldon Johnson,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.5,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Dylan Harper,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,0.9,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Kelly Olynyk,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Jordan McLaughlin,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Lindy Waters III,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Carter Bryant,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.7,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Karl-Anthony Towns,START,ACTIVE,PTS,OVER,,13.5,11,2.5,2,22.8,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Mikal Bridges,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jalen Brunson,START,ACTIVE,PTS,OVER,,12.3,10,2.3,2,19.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,OG Anunoby,START,ACTIVE,PTS,OVER,,10.2,8,2.2,2,13.3,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,OG Anunoby,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.3,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,REB,OVER,,4.5,3,1.5,1.5,7,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jeremy Sochan,BENCH,ACTIVE,PTS,OVER,,9,7,2,2,9.9,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jeremy Sochan,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Mitchell Robinson,BENCH,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,1.7,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jose Alvarado,BENCH,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.4,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jose Alvarado,BENCH,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Miles McBride,BENCH,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.4,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Tyler Kolek,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Mohamed Diawara,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.7,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,De'Aaron Fox,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.4,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Victor Wembanyama,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Harrison Barnes,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.5,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,PTS,OVER,,11,9,2,2,15.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Keldon Johnson,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.5,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Dylan Harper,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,0.9,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Kelly Olynyk,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Jordan McLaughlin,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Lindy Waters III,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Carter Bryant,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.7,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Marina Mabrey,START,ACTIVE,3PM,OVER,,1,0,1,0.8,2,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Kia Nurse,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.4,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Maria Conde,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.4,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,WSH,Sonia Citron,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.8,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,WSH,Georgia Amoore,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Tiffany Hayes,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Janelle Salaun,START,ACTIVE,3PM,OVER,,1,0,1,0.8,2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Gabby Williams,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.6,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Flau'jae Johnson,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Natisha Hiedeman,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.3,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Karl-Anthony Towns,START,ACTIVE,PTS,OVER,,13.5,11,2.5,2,22.8,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Mikal Bridges,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jalen Brunson,START,ACTIVE,PTS,OVER,,12.3,10,2.3,2,19.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,OG Anunoby,START,ACTIVE,PTS,OVER,,10.2,8,2.2,2,13.3,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,OG Anunoby,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.3,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,REB,OVER,,4.5,3,1.5,1.5,7,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jeremy Sochan,BENCH,ACTIVE,PTS,OVER,,9,7,2,2,9.9,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jeremy Sochan,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Mitchell Robinson,BENCH,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,1.7,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jose Alvarado,BENCH,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.4,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Jose Alvarado,BENCH,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Miles McBride,BENCH,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.4,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Tyler Kolek,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,NYK,Mohamed Diawara,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.7,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,De'Aaron Fox,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.4,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Victor Wembanyama,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Harrison Barnes,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.5,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,PTS,OVER,,11,9,2,2,15.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Keldon Johnson,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.5,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Dylan Harper,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,0.9,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Kelly Olynyk,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.1,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Jordan McLaughlin,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Lindy Waters III,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-12,NBA,NYK@SAS,SAS,Carter Bryant,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.7,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Marina Mabrey,START,ACTIVE,3PM,OVER,,1,0,1,0.8,2,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Kia Nurse,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.4,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,TOR,Maria Conde,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.4,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,WSH,Sonia Citron,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.8,live_roster_api,,PENDING
2026-06-12,WNBA,TOR@WSH,WSH,Georgia Amoore,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Tiffany Hayes,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Janelle Salaun,START,ACTIVE,3PM,OVER,,1,0,1,0.8,2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,GS,Gabby Williams,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.6,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Flau'jae Johnson,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-12,WNBA,GS@SEA,SEA,Natisha Hiedeman,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.3,live_roster_api,,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Karl-Anthony Towns,START,ACTIVE,PTS,OVER,,13.5,11,2.5,2,22.8,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Mikal Bridges,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Jalen Brunson,START,ACTIVE,PTS,OVER,,12.3,10,2.3,2,19.2,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,OG Anunoby,START,ACTIVE,PTS,OVER,,10.2,8,2.2,2,13.3,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,OG Anunoby,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.3,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,REB,OVER,,4.5,3,1.5,1.5,7,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Jeremy Sochan,BENCH,ACTIVE,PTS,OVER,,9,7,2,2,9.9,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Jeremy Sochan,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Mitchell Robinson,BENCH,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,1.7,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Jose Alvarado,BENCH,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.4,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Jose Alvarado,BENCH,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Miles McBride,BENCH,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.4,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Tyler Kolek,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,NYK,Mohamed Diawara,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.7,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,SAS,De'Aaron Fox,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.4,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,SAS,Victor Wembanyama,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.1,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,SAS,Harrison Barnes,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.5,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,PTS,OVER,,11,9,2,2,15.6,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,SAS,Keldon Johnson,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.5,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,SAS,Dylan Harper,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,0.9,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,SAS,Kelly Olynyk,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.1,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,SAS,Jordan McLaughlin,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.6,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,SAS,Lindy Waters III,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,PENDING
2026-06-13,NBA,NYK@SAS,SAS,Carter Bryant,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.7,live_roster_api,PENDING
2026-06-13,WNBA,MIN@LV,MIN,Olivia Miles,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.4,live_roster_api,PENDING
2026-06-13,WNBA,MIN@LV,MIN,Kayla McBride,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.9,live_roster_api,PENDING
2026-06-13,WNBA,MIN@LV,LV,A'ja Wilson,START,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,2,live_roster_api,PENDING
2026-06-13,WNBA,MIN@LV,LV,Jewell Loyd,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.8,live_roster_api,PENDING
2026-06-13,WNBA,MIN@LV,LV,Jackie Young,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.3,live_roster_api,PENDING
2026-06-13,WNBA,DAL@POR,DAL,Arike Ogunbowale,START,ACTIVE,PTS,OVER,,10.1,8,2.1,2,19.6,live_roster_api,PENDING
2026-06-13,WNBA,DAL@POR,DAL,Arike Ogunbowale,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,2.4,live_roster_api,PENDING
2026-06-13,WNBA,DAL@POR,DAL,Arike Ogunbowale,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.5,live_roster_api,PENDING
2026-06-13,WNBA,DAL@POR,DAL,Azzi Fudd,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.6,live_roster_api,PENDING
